image_id,label,n_labels,ground-truth
6cd5b949535d34d8,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 123.65715, 'width': 92.80000000000001, 'left': 365.44, 'top': 145.442118}], 'image_size': {'height': 683, 'width': 1024}}"
8fca56d5da5c6fc0,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 263.99948800000004, 'width': 238.00022899999993, 'left': 134.999731, 'top': 320.0}], 'image_size': {'height': 1024, 'width': 683}}"
7fb80a5f129013e7,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 104.00025599999992, 'width': 88.00051200000001, 'left': 153.6, 'top': 625.599744}], 'image_size': {'height': 768, 'width': 1024}}"
d2a6def57bbdca37,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 193.59948799999998, 'width': 164.00035999999997, 'left': 170.39984, 'top': 184.80025600000002}], 'image_size': {'height': 1024, 'width': 680}}"
c579f65f3880b5fc,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 181.30923, 'width': 168.32, 'left': 312.32, 'top': 92.25644999999999}], 'image_size': {'height': 690, 'width': 1024}}"
bf50f35a8a079d13,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 159.36, 'width': 131.20826999999997, 'left': 304.65760800000004, 'top': 353.28}], 'image_size': {'height': 1024, 'width': 681}}"
75e9f52529df583a,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 371.20000000000005, 'width': 240.069895, 'left': 200.59197500000002, 'top': 87.46700799999999}], 'image_size': {'height': 1024, 'width': 685}}"
15f42090b96b1826,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 138.580992, 'width': 99.71800000000002, 'left': 267.053, 'top': 139.947008}], 'image_size': {'height': 1024, 'width': 683}}"
c3ceaed0c7f37080,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 539.234304, 'width': 456.5737879999999, 'left': 210.306856, 'top': 165.58284799999998}], 'image_size': {'height': 1024, 'width': 802}}"
9ba763879faa6562,Human_Face,1,"{'annotations': [{'class_id': 0, 'height': 290.99980800000003, 'width': 327.99948800000004, 'left': 540.0002559999999, 'top': 0.0}], 'image_size': {'height': 768, 'width': 1024}}"
a10dcef70b2c5c9b,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 248.31974400000001, 'width': 178.56, 'left': 316.8, 'top': 143.360256}, {'class_id': 0, 'height': 234.24000000000007, 'width': 177.27999999999997, 'left': 506.24, 'top': 164.480256}], 'image_size': {'height': 768, 'width': 1024}}"
9f63f37730062515,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 124.80000000000001, 'width': 107.19948799999997, 'left': 299.200512, 'top': 78.399744}, {'class_id': 0, 'height': 100.80000000000001, 'width': 76.79999999999995, 'left': 532.799488, 'top': 142.400256}], 'image_size': {'height': 768, 'width': 1024}}"
1b3a86b2a4c7c62d,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 162.74114200000002, 'width': 133.76, 'left': 175.36, 'top': 242.83040499999998}, {'class_id': 0, 'height': 181.322157, 'width': 136.96000000000004, 'left': 602.88, 'top': 187.728697}], 'image_size': {'height': 683, 'width': 1024}}"
adbaad493f9c11f6,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 116.50067599999997, 'width': 94.08000000000004, 'left': 485.12, 'top': 185.63257000000002}, {'class_id': 0, 'height': 118.420589, 'width': 72.32000000000005, 'left': 689.28, 'top': 144.665547}], 'image_size': {'height': 683, 'width': 1024}}"
0067dc6590e3a215,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 147.96059599999998, 'width': 112.0, 'left': 344.96, 'top': 190.23534600000002}, {'class_id': 0, 'height': 112.73243799999997, 'width': 74.88, 'left': 652.16, 'top': 228.666438}], 'image_size': {'height': 686, 'width': 1024}}"
bad274713ff47804,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 64.07372799999999, 'width': 49.85472000000004, 'left': 271.826688, 'top': 202.90150400000002}, {'class_id': 0, 'height': 55.76806399999998, 'width': 71.22124800000006, 'left': 485.48966399999995, 'top': 280.02816}], 'image_size': {'height': 1024, 'width': 768}}"
d9bebf0ca46d30a7,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 121.54251999999997, 'width': 88.32000000000002, 'left': 247.04, 'top': 235.4092}, {'class_id': 0, 'height': 124.74123999999995, 'width': 61.43999999999994, 'left': 681.6, 'top': 193.18936000000002}], 'image_size': {'height': 680, 'width': 1024}}"
0ea0f4e487d550c6,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 179.20000000000002, 'width': 140.8172640000001, 'left': 252.19034399999995, 'top': 177.92}, {'class_id': 0, 'height': 161.28, 'width': 116.49462300000005, 'left': 394.28774699999997, 'top': 185.6}], 'image_size': {'height': 1024, 'width': 987}}"
910461d573e775d7,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 153.77061999999998, 'width': 107.52000000000004, 'left': 273.28, 'top': 137.753587}, {'class_id': 0, 'height': 126.22044899999997, 'width': 95.36000000000001, 'left': 505.6, 'top': 153.771303}], 'image_size': {'height': 683, 'width': 1024}}"
950f6af0adfa0e89,Human_Face,2,"{'annotations': [{'class_id': 0, 'height': 171.60071999999997, 'width': 115.2, 'left': 0.0, 'top': 140.2262}, {'class_id': 0, 'height': 152.39207999999996, 'width': 106.23999999999995, 'left': 433.92, 'top': 201.6948}], 'image_size': {'height': 680, 'width': 1024}}"
4d18df63ebbcdc01,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 153.13064899999995, 'width': 110.07999999999998, 'left': 85.12, 'top': 351.75114700000006}, {'class_id': 0, 'height': 195.417228, 'width': 138.24, 'left': 356.48, 'top': 230.65661300000002}, {'class_id': 0, 'height': 178.75885799999995, 'width': 142.07999999999998, 'left': 487.68, 'top': 243.471059}], 'image_size': {'height': 683, 'width': 1024}}"
93ae8aaa5db94114,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 244.48051199999998, 'width': 199.68, 'left': 302.08, 'top': 221.43974400000002}, {'class_id': 0, 'height': 225.920256, 'width': 169.59999999999997, 'left': 478.08, 'top': 344.319744}, {'class_id': 0, 'height': 259.2, 'width': 205.43999999999994, 'left': 680.32, 'top': 309.759744}], 'image_size': {'height': 768, 'width': 1024}}"
24ff25b51e89cc52,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 112.41765600000002, 'width': 86.75532799999996, 'left': 204.8, 'top': 133.762499}, {'class_id': 0, 'height': 130.91616199999999, 'width': 99.55532799999997, 'left': 487.822336, 'top': 106.725749}, {'class_id': 0, 'height': 119.53311500000004, 'width': 91.02233600000011, 'left': 723.9106559999999, 'top': 184.99042899999998}], 'image_size': {'height': 767, 'width': 1024}}"
31b739862454f314,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 123.199488, 'width': 95.99999999999997, 'left': 198.4, 'top': 100.800512}, {'class_id': 0, 'height': 329.59999999999997, 'width': 241.60051199999998, 'left': 324.799488, 'top': 199.99948799999999}, {'class_id': 0, 'height': 438.4, 'width': 292.800512, 'left': 596.799488, 'top': 84.800512}], 'image_size': {'height': 1024, 'width': 1024}}"
2725546ac2be8b58,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 135.04000000000008, 'width': 115.26754799999998, 'left': 201.078152, 'top': 417.28}, {'class_id': 0, 'height': 131.20000000000005, 'width': 85.81060400000001, 'left': 368.85629, 'top': 384.0}, {'class_id': 0, 'height': 59.519999999999996, 'width': 43.54570000000007, 'left': 430.33245199999993, 'top': 94.08}], 'image_size': {'height': 1024, 'width': 682}}"
359c9b7f24a17142,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 91.52025600000002, 'width': 69.75999999999999, 'left': 76.16, 'top': 288.63974399999995}, {'class_id': 0, 'height': 100.47974399999998, 'width': 96.0, 'left': 407.04, 'top': 283.520256}, {'class_id': 0, 'height': 101.76000000000005, 'width': 76.16000000000008, 'left': 743.04, 'top': 279.680256}], 'image_size': {'height': 768, 'width': 1024}}"
b19592debb37d5b6,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 127.36000000000001, 'width': 80.06625000000003, 'left': 342.0417, 'top': 275.2}, {'class_id': 0, 'height': 162.56, 'width': 143.478225, 'left': 404.813475, 'top': 256.0}, {'class_id': 0, 'height': 216.96, 'width': 155.64862500000004, 'left': 602.7367499999999, 'top': 158.08}], 'image_size': {'height': 1024, 'width': 825}}"
9e4e39992da1e9bf,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 137.73701699999998, 'width': 101.12, 'left': 256.64, 'top': 277.397178}, {'class_id': 0, 'height': 96.09591000000006, 'width': 116.47999999999996, 'left': 440.32, 'top': 208.84839899999997}, {'class_id': 0, 'height': 69.82974000000002, 'width': 92.79999999999995, 'left': 645.12, 'top': 177.457023}], 'image_size': {'height': 681, 'width': 1024}}"
ab1a057f1c4f1a20,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 270.07948799999997, 'width': 261.75999999999993, 'left': 273.92, 'top': 158.720256}, {'class_id': 0, 'height': 271.999488, 'width': 174.07999999999998, 'left': 446.08, 'top': 291.200256}, {'class_id': 0, 'height': 279.040512, 'width': 203.51999999999998, 'left': 647.04, 'top': 309.759744}], 'image_size': {'height': 768, 'width': 1024}}"
93f7775818795b33,Human_Face,3,"{'annotations': [{'class_id': 0, 'height': 59.51999999999998, 'width': 50.55974400000002, 'left': 304.640256, 'top': 409.6}, {'class_id': 0, 'height': 66.56, 'width': 46.719743999999935, 'left': 366.080256, 'top': 364.16}, {'class_id': 0, 'height': 54.39999999999998, 'width': 47.359488000000056, 'left': 439.040256, 'top': 364.16}], 'image_size': {'height': 1024, 'width': 768}}"
4aab5e31d6072f6a,Human_Face,4,"{'annotations': [{'class_id': 0, 'height': 122.29800000000002, 'width': 80.0, 'left': 223.36, 'top': 103.72856}, {'class_id': 0, 'height': 131.26175999999998, 'width': 96.00000000000006, 'left': 435.84, 'top': 112.69300000000001}, {'class_id': 0, 'height': 108.85099999999994, 'width': 92.15999999999997, 'left': 597.12, 'top': 185.04704000000004}, {'class_id': 0, 'height': 128.70088, 'width': 89.60000000000002, 'left': 779.52, 'top': 203.6158}], 'image_size': {'height': 680, 'width': 1024}}"
6e7ea6cbc0bded5a,Human_Face,4,"{'annotations': [{'class_id': 0, 'height': 78.67722800000007, 'width': 65.28000000000003, 'left': 205.44, 'top': 321.107178}, {'class_id': 0, 'height': 87.63242600000001, 'width': 67.19999999999999, 'left': 456.96, 'top': 268.65519800000004}, {'class_id': 0, 'height': 66.52400999999998, 'width': 53.75999999999999, 'left': 716.8, 'top': 342.215594}, {'class_id': 0, 'height': 67.16435599999988, 'width': 49.91999999999996, 'left': 837.76, 'top': 356.28762400000005}], 'image_size': {'height': 742, 'width': 1024}}"
